round,selected_clients,mean_local_loss,test_loss,test_accuracy
1,1;0;4;9;6;5;8;2;3;7,0.435751690627262,1.5266279762268067,0.681
2,0;9;1;7;6;4;8;2;3;5,0.20232884196705805,0.6803835114479065,0.854
3,3;7;4;6;0;1;9;8;2;5,0.11583759641880169,0.36707166466712954,0.9106
4,3;5;1;0;9;6;2;7;8;4,0.07695430203959792,0.27518336131572724,0.918
5,7;8;1;3;0;4;2;6;9;5,0.06284556716637332,0.1957840455174446,0.9439
6,1;0;3;6;2;8;9;4;7;5,0.051971099021821524,0.16038940739631652,0.9526
7,7;5;2;9;6;1;8;3;0;4,0.0458798594548983,0.13122500182688238,0.9606
8,8;3;2;9;6;7;1;4;5;0,0.040790393602765034,0.12352028151303529,0.9635
9,3;0;5;9;2;8;1;7;6;4,0.03875890629752051,0.11106482956707478,0.9664
10,7;6;9;1;2;8;4;5;3;0,0.03442157774487695,0.10789750404953957,0.9667
